YEAR,GENDER,TIME,FIRSTNAME,LASTNAME,RESIDENCE
1897,M,2:55:10,John J,McDermott,New York
1897,M,3:02:02,James J,Kiernan,New York
1897,M,3:06:02,Edward P,Rhell,Massachusetts
1897,M,3:11:37,Hamilton,Gray,New York
1897,M,3:17:50,H D,Eggleston,New York
1897,M,3:31:00,John,Mason,New York
1897,M,3:41:25,W,Ryan,Massachusetts
1897,M,4:06:12,Lawrence,Brignolia,Massachusetts
1897,M,4:08:00,Harry,Franklin,Massachusetts
1897,M,4:10:00,A T,Howe,Massachusetts
1898,M,2:42:00,Ronald J,MacDonald,Canada
1898,M,2:45:00,Hamilton,Gray,New York
1898,M,2:48:02,Robert A,McLennon,Massachusetts
1898,M,2:54:17,John J,McDermott,New York
1898,M,2:55:49,Lawrence,Brignolia,Massachusetts
1898,M,2:58:49,Eugene,Estoppey Jr,New York
1898,M,3:08:55,D J,Grant,New York
1898,M,3:09:30,D,Harrigan,Massachusetts
1898,M,3:09:30,John,Mason,New York
1898,M,3:16:20,J E,Enwright,New York
1898,M,3:22:45,G W,Janson,New York
1898,M,3:25:30,H D,Eggeleston,New York
1898,M,3:25:30,T,O' Connor,New York
1898,M,3:30:20,J H,Keely,New York
1898,M,3:38:07,John,Layer,New York
1899,M,2:54:38,Lawrence,Brignolia,Massachusetts
1899,M,2:57:46,Richard,Grant,Massachusetts
1899,M,3:02:01,B F,Sullivan,Massachusetts
1899,M,3:02:29,John B,Maguire,Massachusetts
1899,M,3:04:59,R F,Hallen,New York
1899,M,3:18:34,Eugene,Estoppey Jr,New York
1899,M,3:21:30,D J,Sullivan,Massachusetts
1899,M,3:23:55,J O,Lynch,New York
1899,M,3:30:12,J H,Kelley,New York
1899,M,3:39:15,J E,Enwright,New York
1899,M,3:44:45,D P,Harrigan,New York
1900,M,2:39:44,John P,Caffrey,Canada
1900,M,2:41:31,William,Sheering,Canada
1900,M,2:49:08,Fred,Hughson,Canada
1900,M,2:51:36,John B,Maguire,Massachusetts
1900,M,2:55:07,James,Fay,Massachusetts
1900,M,3:07:19,Thomas J,Hicks,Massachusetts
1900,M,3:13:20,B F,Sullivan,Massachusetts
1900,M,3:13:57,Richard,Grant,Massachusetts
1900,M,N/A,D,Carroll,Canada
1900,M,N/A,J J,Quigley,Massachusetts
1900,M,N/A,P,Lorden,Massachusetts
1900,M,N/A,F,Crowley,Massachusetts
1900,M,N/A,H R,Osgood,Massachusetts
1900,M,N/A,H H,Potter,Massachusetts
1900,M,N/A,M M,Barligan,Massachusetts
1900,M,N/A,W H,Cobb,Massachusetts
1900,M,N/A,T J,Murphy,Massachusetts
1900,M,N/A,F,Crowley,Massachusetts
1900,M,N/A,Thomas,McQueeny,Massachusetts
1900,M,N/A,F,Wilkins,New Hampshire
1900,M,N/A,E G,Russell Jr,New York
1900,M,N/A,Chester,Torrance,New York
1900,M,N/A,E E,Mills,New York
1900,M,N/A,J,McCarthy,N/A
1900,M,N/A,K,Clifford,N/A
1900,M,N/A,L,Flynn,N/A
1901,M,2:39:44,John P,Caffrey,Canada
1901,M,2:41:31,William,Davis,Canada
1901,M,2:49:08,Samuel A,Mellor Jr,New York
1901,M,2:51:36,C,Crimmins,Massachusetts
1901,M,2:52:32,Thomas J,Hicks,Massachusetts
1901,M,2:55:07,John C,Lorden,Massachusetts
1901,M,2:55:40,P,Lorden,Massachusetts
1901,M,2:56:44,James,McAuliffe,Massachusetts
1901,M,3:02:20,E,Grusell Jr,New York
1901,M,N/A,J J,Kennedy,Massachusetts
1902,M,2:43:12,Samuel A,Mellor Jr,New York
1902,M,2:45:21,J J,Kennedy,Massachusetts
1902,M,2:54:49,John C,Lorden,Massachusetts
1902,M,3:03:47,Charlie,Moody,Massachusetts
1902,M,3:05:49,Carl D,Schlobohm,New York
1902,M,3:07:14,Ernest,Poole,Massachusetts
1902,M,3:09:15,E F,O' Brien Jr,Massachusetts
1902,M,3:09:50,W H,Hunter,Connecticut
1902,M,3:13:15,J,Flynn,Massachusetts
1902,M,3:20:20,Arthur,Ziegler,New York
1902,M,3:22:53,E L,LeMonier,Massachusetts
1902,M,3:23:20,E,Estoppey Jr,New York
1903,M,2:41:29,John C,Lorden,Massachusetts
1903,M,2:47:13,Samuel A,Mellor Jr,New York
1903,M,2:53:01,Michael,Spring,New York
1903,M,2:53:42,Frederick,Lorz,New York
1903,M,3:01:37,J J,Donovan,New York
1903,M,3:01:53,Arthur,Ziegler,New York
1903,M,3:04:50,Edward,Fay,Massachusetts
1903,M,3:06:40,John S,Hunt,Massachusetts
1903,M,3:08:14,John,Leadbetter,Massachusetts
1903,M,3:10:47,John P,Coakley,Massachusetts
1904,M,2:38:04,Michael,Spring,New York
1904,M,2:39:34,Thomas J,Hicks,Massachusetts
1904,M,2:42:35,Thomas F,Cook,Massachusetts
1904,M,2:43:40,Carl D,Schlobohm,New York
1904,M,2:44:00,Frederick,Lorz,New York
1904,M,2:44:43,Samuel A,Mellor Jr,New York
1904,M,2:46:30,J,Easley,Massachusetts
1904,M,2:50:35,Dennis,Bennett,USA
1904,M,2:52:45,F A,Perreault,Massachusetts
